question_id,question,capability_status,current_support,gaps,recommended_source,priority
Q1,Can we scan all S&P 500 / US large-cap tickers daily?,PARTIAL,"SEC company_tickers.json (~10k issuers) capped at 500; universe_tier primary/extended; prices_daily updated daily","No S&P 500 constituent list; market_cap never populated; sector/industry always NULL; no liquidity filter","S&P 500 YAML in fallback_tickers (docs/universe_sp500_brief.md); Polygon Ticker Details for market_cap and sector",P1
Q2_1d,Can we detect 1d move episodes (>=5%)?,MISSING,"candidate_outcomes has forward_return_1d column but missed/detector.py does not populate it","No single-day episode detection in pipeline","Add GAIN_1D_THRESHOLD=0.05 to missed/labels.py; add _detect_gains(window=1) in missed/detector.py",P1
Q2_3d,Can we detect 3d move episodes?,MISSING,"prices_daily has data; no detector or outcome column for 3d","No 3d window anywhere in pipeline","Add GAIN_3D_THRESHOLD=0.08; add forward_return_3d to candidate_outcomes via migration",P1
Q2_5d,Can we detect 5d move episodes (>=10%)?,SUPPORTED,"missed/detector.py: gain_5d_10pct (GAIN_5D_THRESHOLD=0.10); candidate_outcomes: forward_return_5d",None,No action needed,—
Q2_10d,Can we detect 10d move episodes?,MISSING,"prices_daily has data; no detector or outcome column for 10d","No 10d window anywhere in pipeline","Add GAIN_10D_THRESHOLD=0.12; add forward_return_10d to candidate_outcomes via migration",P1
Q2_20d,Can we detect 20d move episodes (>=20%)?,SUPPORTED,"missed/detector.py: gain_20d_20pct (GAIN_20D_THRESHOLD=0.20); candidate_outcomes: forward_return_20d",None,No action needed,—
Q2_60d,Can we detect 60d move episodes (>=30%)?,SUPPORTED,"missed/detector.py: gain_60d_30pct (GAIN_60D_THRESHOLD=0.30 at missed/labels.py:79); candidate_outcomes: forward_return_60d",None,No action needed,—
Q3,Can we attribute catalysts from filings/source text?,PARTIAL,"filings table + SEC source resolver + LLM classifier pipeline operational; daily-catalyst-queue command works","~50% source coverage; reactive not prospective; LLM API key required; no earnings transcripts","SEC EFTS fallback for missing accession numbers; move attribution pre-scoring",P2
Q4,Can we detect sector sympathy / theme momentum?,MISSING,"companies.sector/industry columns exist but always NULL; GDELT/Stocktwits are StubIngestor","No GICS codes; no sector ETF prices; no news feed; no peer analysis","Seed sector from Polygon Ticker Details or static GICS CSV; add sector ETF tickers to universe",P1
Q5,Can we track prediction vs actual outcomes?,PARTIAL,"candidate_outcomes + candidate_reviews + backtest_runs schema defined; learning/summarize.py generates reports","Not auto-populated in daily pipeline; no 3d/10d outcome columns; no automated precision/recall","Wire outcome labelling into daily pipeline; add 3d/10d schema migration",P1
D1,Earnings calendar,PARTIAL,"EventsIngestor fetches Nasdaq calendar +-60d; stored in events table; status=experimental","No EPS estimates/actuals/surprise; experimental status","Alpha Vantage EARNINGS or Polygon Financials for estimates",P2
D2,Analyst estimates / revisions,MISSING,No adapter no schema table,No estimate or revision data at all,"Alpha Vantage EARNINGS endpoint (free limited) or Polygon Financials",P2
D3,News feed,STUB,"GDELTIngestor and StocktwitsIngestor inherit StubIngestor — registered but fetch nothing",No news or sentiment data ingested,"Implement GDELT 2.0 Events API (free no key); Polygon News API (paid)",P2
D4,Sector / industry mappings,PARTIAL,"companies.sector and companies.industry exist in schema (schema.sql:15-16)","Never populated — SEC source has no GICS codes; bank/insurer only via XBRL keyword","Polygon Ticker Details v3 (sic_description) or static GICS CSV seed",P1
D5,Short interest,SUPPORTED,"FINRAIngestor fully implemented; short_interest table populated biweekly; consumed by features/sentiment.py",None,No action needed,—
D6,Options / implied volatility,MISSING,No adapter no schema table,No IV or options flow data,"Polygon Options API (~$29/mo); add implied_volatility table",P2
D7,Institutional / insider transactions,PARTIAL,"Form 4 and 13F appear in filings table (all form types ingested by SECIngestor)","Filing XML not parsed; no transaction table with quantity/price/filer","Add form4_transactions table; parse Form 4 XML nonDerivativeTransaction rows",P3
D8,Real-time volume shock,PARTIAL,"features/momentum.py computes volume_spike (current vs 20d avg) from prices_daily","End-of-day only — no intraday or real-time alerting","Polygon WebSocket or IEX SSE for intraday (out of scope for batch pipeline)",P3
